lr,wd,pr,loss,mAUC,mACC
0.005,0.0,100,0.7725,0.86019504,0.54546726
0.005,0.0001,100,0.7912,0.8639434,0.48297858
0.005,0.001,100,0.8152,0.85981923,0.4943644
0.01,0.0001,100,0.5835,0.90736806,0.5724808
0.01,0.0,100,0.6225,0.9005143,0.5442697
0.01,0.001,100,0.5937,0.89358044,0.552043
0.05,0.001,100,0.2894,0.89903384,0.59251773
0.05,0.0001,100,0.2753,0.90509176,0.6285394
0.05,0.0,100,0.3062,0.887221,0.5702112
0.005,0.0,50,0.7145,0.8780556,0.5482032
0.005,0.0,25,0.7172,0.8794576,0.53378904
0.01,0.0,25,0.5397,0.90079534,0.5717419
0.01,0.0001,25,0.5530,0.9119438,0.5849114
0.05,0.0001,50,0.3196,0.89694834,0.60159487
0.01,0.0001,50,0.5603,0.91054076,0.59048843
0.005,0.0001,25,0.7383,0.88216335,0.51625156
0.005,0.0001,50,0.7584,0.86950004,0.5081811
0.01,0.0,50,0.5769,0.8908763,0.57622766
0.05,0.0,50,0.3256,0.90230095,0.616077
0.05,0.001,50,0.2885,0.9014312,0.61500967
0.005,0.001,50,0.7537,0.8688362,0.51893294
0.005,0.001,25,0.7251,0.9000697,0.5330593
0.05,0.0,25,0.2934,0.90614593,0.6074678
0.01,0.001,50,0.5651,0.884665,0.5737224
0.05,0.0001,25,0.3147,0.8931228,0.5909087
0.01,0.001,25,0.5379,0.89841044,0.60129553
0.05,0.001,25,0.3051,0.8950161,0.60370743
0.005,0.0,10,0.7045,0.8971714,0.5481407
0.005,0.0,5,0.7138,0.8820232,0.5266055
0.005,0.0,1,0.7307,0.8819995,0.50977045
0.005,0.0001,10,0.7148,0.89371765,0.541061
0.005,0.0001,5,0.7076,0.87668097,0.5306815
0.005,0.0001,1,0.7297,0.8740827,0.49451646
0.005,0.001,10,0.7210,0.8866146,0.5293821
0.01,0.0,10,0.6907,0.88995725,0.5516907
0.005,0.001,5,0.7006,0.88230246,0.5302736
0.005,0.001,1,0.7187,0.89031905,0.5123967
0.01,0.0001,10,0.5225,0.9061966,0.58176154
0.01,0.0,5,0.4942,0.91418946,0.59655726
0.01,0.0,1,0.5240,0.9147419,0.58740824
0.01,0.0001,5,0.5202,0.9021433,0.58400023
0.01,0.0001,1,0.5513,0.90924585,0.5701092
0.01,0.001,10,0.5354,0.90204066,0.59330046
0.01,0.001,5,0.5199,0.89665425,0.58132493
0.05,0.0,10,0.2938,0.9103197,0.62421757
0.01,0.001,1,0.5267,0.9148158,0.5936306
0.05,0.0,1,0.2588,0.92396414,0.63338286
0.05,0.0,5,0.2855,0.9044347,0.61973715
0.05,0.0001,10,0.3006,0.898674,0.60432726
0.05,0.0001,1,0.2672,0.906994,0.61912286
0.05,0.0001,5,0.2837,0.8932832,0.59874135
0.05,0.001,10,0.4195,0.8863872,0.624122
0.05,0.001,5,0.2916,0.8931797,0.61260104
0.05,0.001,1,0.2722,0.8988907,0.63003516
