epoch, training_loss, test_loss, mAUC, mACC, ACC1, ACC2, ACC3, ACC4, ACC5
1,1.3593,  1.6470, 0.74684566, 0.2943216,0.,0.9314845,0.,0.,0.54012346
2,0.9602,  1.1798, 0.8137301, 0.41141167,0.21860465,0.8662316,0.,0.,0.9722222
3,0.8360,  1.0353, 0.8421835, 0.45818835,0.6139535,0.90538335,0.,0.,0.77160496
4,0.7695,  0.9558, 0.8504925, 0.47469324,0.54418606,0.92495924,0.,0.,0.904321
5,0.7216,  0.9060, 0.86158085, 0.47600347,0.52093023,0.90538335,0.,0.,0.9537037
6,0.6801,  0.8641, 0.86665267, 0.46620288,0.46976745,0.9168026,0.,0.,0.9444444
7,0.6740,  0.8581, 0.86963713, 0.47966138,0.51627904,0.90538335,0.,0.09701493,0.8796296
8,0.6456,  0.8164, 0.8887471, 0.5017392,0.5627907,0.9119086,0.,0.08955224,0.9444444
9,0.5861,  0.7597, 0.892594, 0.4999513,0.44651163,0.95758563,0.07142857,0.10447761,0.9197531
10,0.5520,  0.7150, 0.8990857, 0.54115045,0.69302326,0.9233279,0.04761905,0.2238806,0.81790125
11,0.5303,  0.6870, 0.9024638, 0.53503805,0.73023254,0.94127244,0.,0.1641791,0.83950615
12,0.4838,  0.6401, 0.90161526, 0.59470356,0.6744186,0.94290376,0.11904762,0.51492536,0.7222222
13,0.4540,  0.6145, 0.90560234, 0.5902306,0.6744186,0.9200652,0.07142857,0.5074627,0.7777778
14,0.4145,  0.5778, 0.90509784, 0.6176328,0.7767442,0.954323,0.35714287,0.41044775,0.58950615
15,0.3826,  0.5449, 0.90216553, 0.5812265,0.73953485,0.9477977,0.21428572,0.2761194,0.72839504
16,0.3049,  0.4679, 0.91302365, 0.5876352,0.65581393,0.9314845,0.1904762,0.32089552,0.83950615
17,0.2794,  0.4765, 0.9007392, 0.58785254,0.7069768,0.9380098,0.30952382,0.35820895,0.6265432
18,0.2649,  0.4356, 0.90797234, 0.5982516,0.7023256,0.94127244,0.16666667,0.35074627,0.8302469
19,0.2155,  0.4008, 0.907419, 0.60684156,0.66511625,0.9314845,0.23809524,0.35074627,0.84876543
20,0.1781,  0.3900, 0.8945261, 0.58111656,0.73953485,0.94127244,0.26190478,0.32089552,0.6419753
21,0.1446,  0.3440, 0.9084814, 0.5901952,0.772093,0.9363785,0.11904762,0.5,0.6234568
22,0.1104,  0.3027, 0.91301167, 0.6307746,0.5860465,0.9461664,0.33333334,0.5074627,0.7808642
23,0.1076,  0.3115, 0.9076727, 0.6286267,0.7162791,0.9396411,0.26190478,0.5,0.72530866
24,0.1005,  0.3108, 0.9075729, 0.6353134,0.6232558,0.94127244,0.30952382,0.5895522,0.712963
25,0.0841,  0.2901, 0.9155704, 0.6221083,0.6,0.9298532,0.23809524,0.5,0.8425926
26,0.0672,  0.2715, 0.91058797, 0.6494607,0.66976744,0.954323,0.3809524,0.4552239,0.787037
27,0.0584,  0.2696, 0.90729696, 0.642084,0.59534883,0.9445351,0.33333334,0.52238804,0.8148148
28,0.0523,  0.2748, 0.9078641, 0.6229323,0.6976744,0.9461664,0.23809524,0.41791046,0.8148148
29,0.0506,  0.2684, 0.9084054, 0.62737715,0.6883721,0.95106035,0.21428572,0.47761193,0.8055556
30,0.0330,  0.2572, 0.91181195, 0.60890216,0.69302326,0.9461664,0.21428572,0.37313432,0.81790125
31,0.0280,  0.2672, 0.906994, 0.61912286,0.6976744,0.9363785,0.23809524,0.41791046,0.8055556
32,0.0373,  0.2707, 0.9133665, 0.61591893,0.7255814,0.94942904,0.21428572,0.4402985,0.75
33,0.0353,  0.2747, 0.8967811, 0.61626846,0.66511625,0.9559543,0.23809524,0.41044775,0.8117284
34,0.0234,  0.2666, 0.9031106, 0.60389906,0.6465116,0.9396411,0.16666667,0.41791046,0.84876543
35,0.0236,  0.2649, 0.9106288, 0.6217365,0.74883723,0.9314845,0.1904762,0.4477612,0.79012346
36,0.0230,  0.2630, 0.9028627, 0.61882746,0.67906976,0.9559543,0.26190478,0.37313432,0.8240741
37,0.0197,  0.2538, 0.90978515, 0.6368433,0.7023256,0.9380098,0.23809524,0.4477612,0.8580247
38,0.0166,  0.2558, 0.8963512, 0.61774147,0.65581393,0.95921695,0.23809524,0.47014925,0.7654321
39,0.0149,  0.2548, 0.9102761, 0.6240408,0.627907,0.94942904,0.23809524,0.47761193,0.8271605
40,0.0157,  0.2677, 0.90237916, 0.6366546,0.6604651,0.9445351,0.30952382,0.4477612,0.82098764
41,0.0142,  0.2409, 0.91454136, 0.6447637,0.7209302,0.94290376,0.30952382,0.3955224,0.85493827
